#HGNC ID	HGNC symbol
31731	PA2G4P3
39202	OGFOD1P1
42039	SNRPGP14
25550	RMDN3
31732	ARIH2P1
8823	PECAM1
42498	RNY4P30
37288	CTAGE10P
47371	RNU6-408P
34058	RNY4P9
38964	MIR3613
47820	RNU6-857P
13748	DLEU2
23755	RPL13AP7
1283	LINC00158
31545	MIR16-1
47130	RNU6-167P
35957	RPL18P10
35460	MIR155HG
18487	ST13P4
16019	LINC00515
39652	RNGTTP1
36100	RPL34P26
3641	FDX1P2
27570	MILR1
47965	RNU6-1002P
45768	RN7SKP44
4194	GCHFR
43792	LRRC37A7P
39966	DLEU7-AS1
47086	RNU6-123P
42604	RNA5SP28
48013	RNU6-1050P
39967	RNASEH2B-AS1
47889	RNU6-926P
8892	PGDP1
9180	POLG2
43353	RNA5SP453
31015	HNRNPA1P7
26250	WBP11P1
25556	DNAJC17
28346	FAM210A
4686	GUCY1B2
12624	USP25
41575	MIR4759
4561	GPX1P2
42605	RNA5SP29
42693	LINC00371
42036	RPL5P31
49064	SLMO2P2
2746	DDX5
43499	MIR5693
17827	ST8SIA5
42691	INTS6-AS1
1277	C21orf37
41803	MIR4752
36365	RPS4XP16
46336	RN7SL320P
39330	SNRPGP11
41817	MIR4703
25141	CEP95
42555	RNU6-65P
42483	RNY1P6
46429	RN7SL413P
39742	ATP5F1P1
24348	CTAGE3P
31060	FABP5P2
41652	MIR3064
2559	CXADR
41834	MIR5047
39253	MRPS31P5
10075	RNMT
30249	QSOX2
17311	PIAS2
38076	TPTE2P2
4119	GALK2
1132	BTG3
3283	EIF4A1P1
49353	SUMO2P15
10300	RPL10P1
39606	NCSTNP1
34489	C15orf62
38825	EPPIN-WFDC6
1264	LINC00113
2989	DOCK3
38025	ISCA1P4
16622	LINC00314
15461	MANF
24410	CYCSP2
16163	WFDC8
12010	TPM1
32278	FAM92A1P1
46513	RN7SL497P
24303	RBM15B
20380	WFDC9
16459	C21orf91
43563	OIP5-AS1
26958	MROH1
13065	ZNF271
26148	CRTC3
44604	NRBF2P1
31558	MIR187
15519	BOP1
38945	MIR3929
20758	ZFYVE19
2483	CSTF1
17807	CHODL
30911	VPRBP
38333	MIR4318
45906	RN7SKP182
47669	RNU6-706P
44332	LINC00669
42474	RNY4P24
42503	LINC00345
16139	WFDC10A
35682	RPL7AP66
43491	MIR5583-1
48132	RNU6-1169P
13759	CYFIP1
17762	TCEB1P2
48205	RNU6-1242P
20478	WFDC11
27345	TPTE2P3
32882	MIR626
35618	RPL17P45
45679	RNU7-145P
20479	WFDC10B
9490	TMPRSS15
43293	RNA5SP393
38383	MIR4310
16131	WFDC13
35391	MIR1827
16130	SPINT4
5224	HSF1
44327	LINC00907
29123	RAD54L2
5385	IDH3B
42649	MRPS31P4
25387	KATNAL2
15957	WFDC3
37307	MIR759
39271	PPIAP26
49103	LINC01065
39937	PCDH8P1
15878	CASS4
46634	RN7SL618P
35742	RPL18P11
43702	LINC00558
42807	LINC00458
36101	RPL21P116
47378	RNU6-415P
32883	MIR627
36981	RPL13AP25
7657	NCAM2
43468	MIR5007
35417	HNF4GP1
39446	SPATA2P1
17138	LINC00161
42624	RN7SKP6
49097	PRR20FP
47835	RNU6-872P
39576	MTCO2P3
5268	HSPD1P7
14953	PPP1R14D
35471	SLC25A5P4
23808	THUMPD1P1
10324	RPL23P2
31555	MIR184
48815	HNRNPCP3
35749	RPL31P53
42606	RNA5SP30
42698	LINC00374
23766	RPL12P9
42497	RNY4P29
41967	CTAGE16P
2843	DGAT1
39337	DNAJA1P1
39410	HMGN2P39
26543	FAM227B
39577	POLR3KP1
18461	LINC00189
39770	RPP40P2
42617	RNU7-88P
39915	DIAPH3-AS1
46391	RN7SL375P
39916	DIAPH3-AS2
6933	MC5R
42496	RNY4P28
42769	LINC00434
41836	MIR4758
39848	TARDBPP2
42607	RNA5SP31
37925	EIF4A1P6
19917	SERPINH1P1
42704	LINC00378
6930	MC2R
45748	RN7SKP24
42489	RNY3P5
16468	LACTB
42499	RNY4P31
38380	MIR3169
4160	GAPDHP14
42005	RAC1P8
26393	C20orf166-AS1
48712	CNTFR-AS1
40006	BACH1-IT1
42678	LINC00358
1058	BLM
31499	MIR1-1
49118	LINC01075
31518	MIR133A2
16566	RPL7P3
49117	LINC01074
43354	RNA5SP454
47406	RNU6-443P
42808	LINC00459
14027	MRPL39
24504	FAM205B
36328	RPL32P28
43355	RNA5SP455
31094	KRT8P5
15950	SCRT1
49099	SQSTM1P1
42785	LINC00448
42701	LINC00376
42673	FAM205CP
38212	MIR4319
30574	ZNF519
42723	LINC00395
16221	LINC00686
31311	OR7E156P
2547	CTSZ
44316	LINC00659
4345	GLULP4
42571	RNU6-81P
40724	OGFR-AS1
15890	RTFDC1
42008	PPP1R2P10
30849	YWHAZP6
16136	DPH3P1
38139	SYF2P2
46354	RN7SL338P
16599	ARF4P2
40008	BACH1-AS1
15343	OR7E104P
40007	BACH1-IT2
34078	NFYAP1
16455	BACH1-IT3
47630	RNU6-667P
11246	SPINT1
27061	LINC00355
16184	LINC00029
23079	LGMNP1
45750	RN7SKP26
16458	GRIK1-AS1
49050	LINC01056
11360	STARP1
48241	RNU6-1278P
33118	HAR1B
27245	ATP8B5P
16727	LINC00307
39774	HNRNPA3P5
33117	HAR1A
17220	RPL8P2
49046	LINC01052
41734	MIR548X2
41602	MIR4704
31504	MIR124-3
42010	TRIM60P19
29278	EBF4
38198	MIR3196
27522	LINC00927
39897	PCDH9-AS1
38314	MIR4326
42616	RNU7-87P
47957	RNU6-994P
39896	PCDH9-AS2
42978	ZFAND6P1
40427	PCDH9-AS3
36475	RPL36AP33
40428	PCDH9-AS4
36641	RPSAP53
41723	MIR4667
47151	RNU6-188P
42686	LINC00364
16257	TUBB1
49113	BCRP9
10031	RMRP
39679	NPM1P22
3685	FGF7
15344	OR7E111P
46038	RN7SL22P
